,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S06_4060x113800-slice5,3.8758583e-17,2.806304e-17,0.032571908,0.12910281,1.1116989e-08,1.0013401e-17,0.16404004,1.060773e-18,7.7230583e-10,5.9410587e-17,4.2854623e-07,1.3187155e-08,2.1682043e-17,1.6578033e-17,0.6742848,1.7868218e-14
E16-18h_a_S06_4060x113820-slice5,1.7596453e-19,1.3518252e-19,3.5446e-05,0.009008654,3.079925e-07,5.1932935e-20,0.577006,6.002439e-21,2.092347e-11,3.0255736e-19,1.0183355e-10,1.4547792e-08,9.1834774e-20,7.489562e-20,0.41394958,6.776754e-17
E16-18h_a_S06_4060x113840-slice5,9.5837185e-17,7.6024866e-17,0.0003884722,0.022919519,1.10302905e-08,3.9578938e-17,0.3714877,1.1068343e-17,6.6566566e-09,1.5838113e-16,4.2541825e-07,9.479211e-08,5.9865265e-17,4.6010555e-17,0.6052038,4.8907293e-14
E16-18h_a_S06_4060x113860-slice5,5.7309735e-19,4.1648614e-19,0.057032652,1.1409092e-05,6.472993e-09,1.761671e-19,0.503876,1.152427e-19,9.196351e-08,8.4749684e-19,5.8808382e-08,2.1883433e-09,3.2723557e-19,2.3763185e-19,0.4390798,2.697033e-16
E16-18h_a_S06_4060x113880-slice5,1.5011163e-19,8.5344935e-20,6.794221e-05,2.6185548e-08,1.9355146e-07,1.9419729e-20,0.7142257,7.1828956e-21,9.572134e-09,1.3992957e-19,3.4334766e-07,8.67746e-09,5.577215e-20,3.598929e-20,0.28570583,3.4354902e-17
E16-18h_a_S06_4060x113900-slice5,4.377676e-13,2.6354065e-13,0.12793723,0.00710199,0.052406132,7.001937e-14,0.40740907,1.057808e-14,3.429983e-08,3.5946238e-13,1.0748354e-06,1.800528e-07,1.8707087e-13,1.5402537e-13,0.40514427,5.969328e-12
E16-18h_a_S06_4060x113920-slice5,1.7738314e-16,1.2607412e-16,0.078947306,8.362834e-08,3.7822792e-05,4.325325e-17,0.25351283,1.1094972e-17,1.0932466e-09,1.906742e-16,3.7937704e-07,6.133114e-08,9.786504e-17,8.161877e-17,0.66750157,3.612184e-15
E16-18h_a_S06_4060x113940-slice5,2.3643182e-15,1.9247816e-15,0.4634635,5.622601e-07,2.2017475e-05,9.473561e-16,0.012573071,4.1415353e-16,2.9844691e-09,2.7195179e-15,3.317254e-08,1.9395252e-07,1.6358234e-15,1.5020437e-15,0.5239407,2.9899314e-14
E16-18h_a_S06_4060x113960-slice5,7.751755e-18,7.529527e-18,0.98896503,1.6660665e-07,1.3557123e-07,7.19147e-18,0.010966798,6.765897e-18,1.8286613e-09,9.90769e-18,1.0684854e-09,2.499311e-06,7.512886e-18,6.709174e-18,6.539197e-05,2.1655176e-16
E16-18h_a_S06_4060x113980-slice5,5.7260917e-22,4.821669e-22,0.9769577,2.7746124e-08,8.964196e-12,3.6398643e-22,0.023041423,2.6214959e-22,2.0460622e-08,7.1806754e-22,2.3276595e-08,1.3572853e-07,4.7568853e-22,3.3014147e-22,7.556747e-07,1.9485048e-19
E16-18h_a_S06_4060x114000-slice5,5.6789287e-16,4.4453517e-16,0.6911832,1.0997409e-06,2.5666892e-05,2.605772e-16,0.07084529,1.4123789e-16,1.0752093e-08,5.7704935e-16,1.2017618e-07,3.1095828e-05,4.0514163e-16,3.538456e-16,0.23791353,1.3751202e-14
E16-18h_a_S06_4060x114020-slice5,1.6125536e-15,1.3319875e-15,0.58732134,2.8535021e-08,1.0838692e-06,1.0050955e-15,0.17365785,7.106372e-16,1.3693806e-07,1.7671565e-15,1.723717e-07,0.00016068947,1.2556232e-15,1.0883398e-15,0.23885871,7.817941e-14
E16-18h_a_S06_4060x114040-slice5,8.819177e-15,7.351584e-15,0.50820935,6.277279e-06,1.0403565e-05,5.4076964e-15,0.122369885,3.0531552e-15,2.2764577e-07,1.002484e-14,3.6716063e-08,2.4101407e-06,6.764335e-15,6.0070475e-15,0.36940148,2.323496e-13
E16-18h_a_S06_4060x114060-slice5,1.1068254e-13,9.95414e-14,0.43946138,0.014449082,2.6542077e-05,7.56102e-14,0.091964684,3.356539e-14,5.8513168e-09,1.5816335e-13,3.2159494e-07,0.004898386,9.1023794e-14,8.5444706e-14,0.44919953,4.3788176e-12
E16-18h_a_S06_4060x114080-slice5,1.2100148e-16,1.1491992e-16,0.46095696,1.6843269e-06,7.244362e-08,9.204077e-17,0.060294,5.1665456e-17,3.0925331e-09,1.8433426e-16,1.3247631e-08,5.4503334e-06,1.0696689e-16,1.0028312e-16,0.4787417,8.206763e-15
