,x,y,z
E16-18h_a_S01_14660x106900-slice0,-24.038578680201795,2.1675126903528508,0.0
E16-18h_a_S01_14660x106920-slice0,-24.038578680201795,3.1675126903528508,0.0
E16-18h_a_S01_14660x106940-slice0,-24.038578680201795,4.167512690352851,0.0
E16-18h_a_S01_14660x106960-slice0,-24.038578680201795,5.167512690352851,0.0
E16-18h_a_S01_14680x106860-slice0,-23.038578680201795,0.16751269035285077,0.0
E16-18h_a_S01_14680x106880-slice0,-23.038578680201795,1.1675126903528508,0.0
E16-18h_a_S01_14680x106900-slice0,-23.038578680201795,2.1675126903528508,0.0
E16-18h_a_S01_14680x106920-slice0,-23.038578680201795,3.1675126903528508,0.0
E16-18h_a_S01_14680x106940-slice0,-23.038578680201795,4.167512690352851,0.0
E16-18h_a_S01_14680x106960-slice0,-23.038578680201795,5.167512690352851,0.0
E16-18h_a_S01_14680x106980-slice0,-23.038578680201795,6.167512690352851,0.0
E16-18h_a_S01_14680x107000-slice0,-23.038578680201795,7.167512690352851,0.0
E16-18h_a_S01_14700x106820-slice0,-22.038578680201795,-1.8324873096471492,0.0
E16-18h_a_S01_14700x106840-slice0,-22.038578680201795,-0.8324873096471492,0.0
E16-18h_a_S01_14700x106860-slice0,-22.038578680201795,0.16751269035285077,0.0
E16-18h_a_S01_14700x106880-slice0,-22.038578680201795,1.1675126903528508,0.0
E16-18h_a_S01_14700x106900-slice0,-22.038578680201795,2.1675126903528508,0.0
E16-18h_a_S01_14700x106920-slice0,-22.038578680201795,3.1675126903528508,0.0
E16-18h_a_S01_14700x106940-slice0,-22.038578680201795,4.167512690352851,0.0
E16-18h_a_S01_14700x106960-slice0,-22.038578680201795,5.167512690352851,0.0
E16-18h_a_S01_14700x106980-slice0,-22.038578680201795,6.167512690352851,0.0
E16-18h_a_S01_14700x107000-slice0,-22.038578680201795,7.167512690352851,0.0
E16-18h_a_S01_14700x107020-slice0,-22.038578680201795,8.16751269035285,0.0
E16-18h_a_S01_14700x107040-slice0,-22.038578680201795,9.16751269035285,0.0
