,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S01_15040x107040-slice0,0.47805604,4.3130925e-07,0.36237752,3.1421727e-12,1.9483645e-08,6.2137207e-07,0.040002942,0.0842877,8.296442e-06,3.9618003e-06,0.00050929654,0.03459971,1.0604889e-10,2.3827722e-09,8.016344e-07,0.0001526391
E16-18h_a_S01_15040x107060-slice0,0.6328487,0.00018181607,0.20375979,2.617233e-11,1.8498753e-06,1.270133e-06,0.092729524,0.015114355,9.403486e-06,1.6226442e-09,4.495073e-05,0.055287894,1.8646375e-05,1.0582217e-07,1.5445221e-06,1.2731545e-07
E16-18h_a_S01_15040x107080-slice0,0.74496984,7.75837e-07,0.1871326,4.1967194e-10,1.8144948e-06,0.00022851667,0.042132534,0.00037836548,8.194898e-06,0.00013307286,1.2002071e-06,0.007252247,0.00083652756,4.2930107e-08,2.3988053e-07,0.01692396
E16-18h_a_S01_15040x107100-slice0,0.109796815,5.2772146e-05,0.11962386,2.0569561e-05,4.0999004e-07,3.987774e-06,0.0059423377,0.017060587,0.00029827657,0.0006714468,0.23904592,0.02665977,0.24274991,0.15705372,5.748054e-08,0.08101958
E16-18h_a_S01_15060x106620-slice0,2.7713206e-08,0.00018431916,0.04387013,0.115034014,9.372374e-09,0.0015730076,0.099622935,0.31431994,0.068377994,4.8843926e-06,0.19632259,0.036626104,1.7582432e-05,0.1222943,0.001734805,1.7412693e-05
E16-18h_a_S01_15060x106640-slice0,1.4386558e-07,7.132653e-05,0.046759628,0.44057062,4.8054833e-08,0.006777039,0.15891379,0.16243339,0.0004272289,1.9213862e-06,0.08576154,0.09304799,6.6447285e-08,0.004400392,8.654793e-05,0.0007483338
E16-18h_a_S01_15060x106660-slice0,6.470956e-06,0.08906908,0.049632344,0.20565157,6.7039928e-06,0.087306395,0.1477872,0.21914025,0.0020215618,3.006519e-05,0.0048196353,0.043448433,1.6842618e-07,0.00056740426,1.7945435e-05,0.15049483
E16-18h_a_S01_15060x106680-slice0,1.00872775e-07,0.0007750289,0.043317545,0.35284942,2.7304973e-06,3.697549e-08,0.20682703,0.17843913,0.00027235007,0.00023876157,0.104851365,0.0298091,3.952347e-07,0.00014384073,0.032852612,0.049620584
E16-18h_a_S01_15060x106700-slice0,5.086184e-07,5.278639e-06,0.0008003886,0.13979639,4.0719556e-07,1.240534e-07,0.18745743,0.4519275,0.00011506963,0.0010397971,0.0073754415,0.022138193,9.544998e-08,0.00087356055,0.074504465,0.11396528
E16-18h_a_S01_15060x106720-slice0,3.6570796e-06,0.015619701,2.8905102e-05,0.10015192,5.3075655e-07,1.0360875e-06,0.18711993,0.33001947,8.307258e-05,0.031088164,0.08600921,0.021632766,2.9438443e-08,0.14568642,0.0006586398,0.081896566
E16-18h_a_S01_15060x106740-slice0,0.00037362272,0.00033131614,4.4131124e-08,0.15036663,3.5411667e-09,4.5075555e-07,0.3625649,0.0035405934,1.7512153e-07,0.09293617,0.26475105,0.041040983,1.4398483e-07,5.51325e-06,5.411835e-08,0.084088415
E16-18h_a_S01_15060x106760-slice0,9.570395e-05,0.11201071,8.480764e-07,0.06318145,9.5116346e-05,1.622196e-06,0.1978411,0.054641645,4.2139286e-06,0.11425305,0.22543205,0.089318745,2.2277187e-07,4.370701e-07,2.6978453e-06,0.14312042
E16-18h_a_S01_15060x106780-slice0,0.13531648,0.00016732786,5.4146176e-07,0.032459654,1.1346971e-05,1.8922812e-07,0.44947192,1.0083214e-06,8.8936207e-07,0.00025452528,0.35994327,0.02205255,8.639884e-09,1.4841542e-07,1.80948e-07,0.000319876
E16-18h_a_S01_15060x106800-slice0,0.00015535492,1.276836e-05,2.7943396e-09,0.014642091,7.446252e-07,3.7499117e-08,0.4500777,3.8008613e-10,6.213643e-05,6.7898996e-05,0.44398314,0.0623372,1.0363405e-10,8.645034e-08,4.973132e-13,0.028660798
E16-18h_a_S01_15060x106820-slice0,0.132495,0.005400856,1.6254582e-09,0.09039757,2.8860433e-07,2.6377253e-07,0.100392275,8.503365e-08,0.00046258242,0.03816509,0.30126646,0.13457623,1.4269244e-06,0.0001698127,2.8196908e-11,0.19667208
E16-18h_a_S01_15060x106840-slice0,0.20399314,0.028429108,1.5859585e-05,0.028460719,0.00019538242,6.5383683e-06,0.09944705,1.7180374e-08,0.0062705334,0.10780293,0.12978785,0.13052392,0.00017056726,0.050625913,4.3276476e-08,0.2142704
E16-18h_a_S01_15060x106860-slice0,0.4945646,0.0011132936,1.0434868e-07,0.020000491,1.6698024e-05,8.875742e-06,0.012648759,2.4901501e-08,1.6645034e-05,0.029242102,0.22986256,0.11723236,0.0002987705,0.00042554495,2.0240144e-08,0.09456911
E16-18h_a_S01_15060x106880-slice0,0.4911109,0.10971661,1.6027028e-05,0.05296587,1.0016146e-06,7.007725e-05,0.046343427,7.2624223e-10,6.2560844e-07,0.017737165,0.097275026,0.12632996,0.0002653381,0.0015652904,1.0409718e-07,0.0566026
